"龐統當知縣","大材小用"
"賈寶玉愛林妹妹","好夢難圓"
"紅樓夢裏的賈府","大有大的難處"
"滾油鍋裏添涼水","炸瞭"
"瓦罐裏點燈","心裏亮，肚裏明"
"造屋請箍桶匠","找錯人啦"
"吹風機齣故障","壞瞭風氣"
"木偶流眼淚","假仁假義"
"癱子掉井裏","撈超也是坐"
"趕著綿羊過火焰山","往死裏逼"
"狗走韆裏吃屎，狼行韆裏吃肉","本性難移"
"趕車不帶鞭子","光拍馬屁"
"後娘打孩子","早晚是一頓"
"小偷不用化裝","賊頭賊腦"
"鞋裏頭跑馬","沒多大奔頭"
"新媳婦推車子","好的在後頭"
"毛驢笑人耳朵長","不知自醜"
"兔子進磨道","充什麼大耳朵驢"
"鼻子眼裏生豆芽","怪事一樁：怪事"
"大姑娘上樓梯","步步登高"
"七尺布攔腰剪","不三不四"
"一腳踩進泥沼裏","不能自拔"
"瞎子捉迷藏；飛機上張網","捕風捉影"
"三天賣兩條黃瓜","不慌不忙"
"熟過頭的石榴","不攻自破"
"修手錶的藉火鉗","夾(架)子大瞭無用"
"高梁稈做眼鏡","空架子"
"站在竹筒上","空虛"
"耗子啃菜刀","死路一條"
"耗子啃碟子","滿嘴詞"
"耗子攻牆","傢賊難防"
"奸狼下瞭個賊狐狸","不是好種；孬種"
"狼頭上插竹筍","裝樣"
"狼吃蓑衣","沒有人味"
"惡狼吃天","難下爪"
"羊群遇惡狼","各散四方；四處逃散"
"盛開的木棉花","紅透瞭；紅火一片；一片紅火"
"濕水棉花","談(彈)不得；無法談(彈)"
"石縫裏塞棉花","軟硬兼施"
"四兩棉花八張弓","細談(彈)"
"挑著棉花過刺笆林","東拉西扯；七勾八扯"
"挑著棉花過刺林","走一步，掛一點"
"新棉花網被絮","軟胎子"
"狼頭上插竹筍","裝樣(羊)"
"山間竹筍","嘴尖皮厚腹中空"
"圍著火爐吃西瓜","心上甜絲絲，身上暖烘烘"
"西瓜甜不甜","看心"
"瞎子摸著蜜罐子","嘗到甜頭"
"小蜜蜂說話","甜言蜜語"
"新疆的哈密瓜","甜甜蜜蜜"
"熊瞎子舔馬蜂窩","怕挨蜇彆想吃甜頭"
"土瞎子看告示","裝模做樣"
"東方打雷西方雨","聲東擊西"
"戲颱上打架","無關痛癢"
"爬高梯摘月亮","空想"
"拿著麵盆當月亮","不知輕重"
"拿個小錢當月亮","吝嗇鬼"
"三斤半鴨子兩斤半嘴","多嘴多舌"
"鴨子改雞","磨嘴皮"
"坐上飛機釣魚","差遠瞭"
"魚找魚，蝦找蝦，烏龜愛王八","氣味相投"
"魚大吃蝦，蝦大吃魚","弱肉強食"
"用小蝦釣鯉魚","吃小虧占大便宜"
"藉他的繮繩拎他的驢","將計就計"
"望江亭度中鞦","近水樓颱先得月"
"正月十五的月亮","光明正大"
"站在河岸撈月亮","白搭工"
"月亮下點油燈","多事"
"爛透的毒瘡","不可救藥"
"爛麻裏攙豬毛","一團糟"
"懶廚子做席","不想給你吵(炒)"
"藍天上的白雲","自由自在"
"癩子頭上抓癢","求之不得"
"癩蛤蟆打傘","怪事一樁；怪事"
"弟兄分傢爭勺子；案闆上的買賣"," 斤斤計較"
"拾錢不識街坊","見利忘義"
"鄉下不懂天文","見風是雨"
"豬頭掛在花椒樹上","肉麻"
"竹林裏栽柏樹","親(青)上加親(青)"
"蛀蟲鑽空大樹心","暗裏使壞"
"啄木鳥飛上黃蓮樹","自討苦吃"
"啄木鳥死在樹洞裏"," 吃瞭嘴的虧；全壞在嘴上"
"六月裏的梨疙瘩","有點酸"
"小擀杖放到醋缸裏","又尖又酸；尖酸"
"煙裏的放醋壇","酸氣衝天"
"搖著腦袋吃梅子","瞧你那個酸相"
"咬口生薑喝口醋","嘗盡辛酸"
"要甜的拿糖罐，要酸的拿醋壇","得心應手"
"屋簷下的大蔥","心不死；葉爛皮乾心不死"
"洗菜的洗萊，剝蔥的剝蔥","各管一工"
"小蔥拌豆腐","一清(青)二白"
"鼕天的竹筍","齣不瞭頭"
"黃連水裏泡竹筍","苦透瞭"
"狼頭上插竹筍","裝樣(羊)"
"蛀蟲鑽空大樹心"," 暗裏使壞"
"啄木鳥飛上黃蓮樹"," 自討苦吃"
"不搭棚的葡萄"," 沒有架子；不擺架子"
"瞎子吃黃瓜"," 不分老嫩"
"新上市的黃瓜"," 帶刺"
"醃蘿蔔拌黃瓜"," 都閑(鹹)著"
"一口咬瞭黃瓜蒂","苦"
"扳著爐子烤頭發","瞭(燎)不得"
"扳倒葫蘆灑瞭油","一不做，二不休"
"扳倒碓窩嚇婆婆","潑婦"
"拜旨走進呂祖廟","走錯門瞭;找錯瞭門"
"拜年的嘴巴","盡說好話"
"拜把子兄弟開繭店","結黨營私(絲)"
"賜竹的脾氣","一點就炸"
"抱著機器人親嘴","你有情他無意"
"抱著枕頭跳舞","自得其樂"
"半天雲裏翻筋鬥","終久要落地"
"半天打不齣噴嚏來","難受"
"半天雲裏跑馬","露馬腳"
"高山上敲鼓","四麵聞名(鳴)"
"釘頭碰釘子","硬碰硬"
"菜刀切豆腐","兩麵光"
